"Cruise","Station","Date","Latitude [deg]","Longitude [deg]","Pressure [db]","Temperature [deg C]","Temperature [deg C]","Conductivity [S/m]","Conductivity [S/m]","Oxygen [umol/l]","Fluorescence [ug/l]","Beam Transmission [%]","Beam Attenuation [1/m]","Salinity [PSU]","Salinity [PSU]","Density [kg/m^3]","Density [kg/m^3]","Density [kg/m^3]","Density [kg/m^3]","flag [# name 17 = flag: flag]"
"NOR1_T007","A",2020-11-29,22.31216,120.54306,14,26.9658,26.966,5.408908,5.407819,209.799,0.3661,69.2535,1.4697,34.2498,34.2419,22.1647,22.1587,1022.2239,1022.2178,0
"NOR1_T007","A",2020-11-29,22.31216,120.54306,13,26.9656,26.9652,5.408889,5.407682,210.256,0.3457,69.3194,1.4658,34.2501,34.2418,22.165,22.1588,1022.2199,1022.2137,0
"NOR1_T007","A",2020-11-29,22.31216,120.54306,12,26.9743,26.9744,5.410114,5.408969,210.929,0.3007,71.2682,1.355,34.2527,34.2445,22.164,22.1578,1022.2147,1022.2086,0
"NOR1_T007","A",2020-11-29,22.31216,120.54307,11,26.9829,26.9812,5.411354,5.409971,212.021,0.3328,74.7356,1.1657,34.2555,34.2469,22.1633,22.1574,1022.2098,1022.2039,0
"NOR1_T007","A",2020-11-29,22.31218,120.54308,10,26.9854,26.9846,5.411679,5.410419,213.4,0.4089,76.3858,1.0775,34.2562,34.2479,22.163,22.157,1022.2053,1022.1992,0
"NOR1_T007","A",2020-11-29,22.31218,120.54308,9,26.9862,26.9857,5.411743,5.410526,213.785,0.3172,76.8202,1.0548,34.2564,34.2481,22.1628,22.1567,1022.2009,1022.1948,0
"NOR1_T007","A",2020-11-29,22.31218,120.54308,8,26.9871,26.9862,5.411777,5.410565,214.162,0.2976,76.8732,1.0521,34.2563,34.2483,22.1624,22.1566,1022.1962,1022.1904,0
"NOR1_T007","A",2020-11-29,22.31218,120.54308,7,26.9875,26.987,5.41178,5.410595,213.715,0.2915,76.7958,1.0561,34.2563,34.2483,22.1622,22.1563,1022.1918,1022.1859,0
"NOR1_T007","A",2020-11-29,22.31218,120.54308,6,26.9882,26.9878,5.411812,5.410631,213.537,0.2785,76.6705,1.0626,34.2563,34.2482,22.1619,22.156,1022.1873,1022.1813,0
"NOR1_T007","A",2020-11-29,22.31218,120.54309,5,26.9898,26.99,5.411907,5.410788,213.563,0.2849,76.7185,1.0601,34.2562,34.248,22.1612,22.155,1022.1823,1022.1762,0
"NOR1_T007","A",2020-11-29,22.31218,120.5431,4,26.9904,26.989,5.411965,5.410468,214.266,0.267,76.8487,1.0533,34.2564,34.2468,22.1611,22.1543,1022.178,1022.1712,0
"NOR1_T007","A",2020-11-29,22.31218,120.5431,3,26.997,26.9953,5.412685,5.411387,213.902,0.2362,77.2202,1.034,34.257,34.249,22.1594,22.1539,1022.1721,1022.1666,0
"NOR1_T007","LD1",2020-11-30,22.31214,120.54293,3,26.9935,26.9926,5.412081,5.410853,213.311,0.2048,76.4876,1.0722,34.2552,34.2471,22.1592,22.1534,1022.1719,1022.166,0
